监测时间,水质类别,水温（℃）,pH(无量纲),溶氧量(mg/L),电导率（μS/cm）,浊度（NTU）,高锰酸盐指数（mg/L）,氨氮（mg/L）,总磷（mg/L）,总氮（mg/L）,站点情况,id
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17,7.97,12.58,762.3,11.3,5.06,0.025,0.035,3.91,正常,1
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.1,8.33,10.58,882.8,2.5,5.45,0.04,0.051,7.95,正常,2
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.3,7.69,10.42,1175.1,12.5,3.86,0.054,0.042,9.62,正常,3
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.38,12.49,1121.8,15.3,4.32,0.037,0.03,1.92,正常,4
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.6,7.86,10.05,923.8,6.9,3.16,0.035,0.059,6.35,正常,5
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,8.75,14.59,1001.1,5.6,2.84,0.034,0.049,4.49,正常,6
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.5,7.83,9.17,987.5,11.1,3.96,0.073,0.051,4.38,正常,7
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.5,8.17,11.32,1052.7,13.2,4.6,0.034,0.068,4.27,正常,8
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,7.66,9.62,1209.1,38.7,3.25,0.259,0.085,6.68,正常,9
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.8,8.69,16,1229.7,13.3,4.97,0.108,0.125,7.05,正常,10
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),,17.6,8.98,,1151.7,1.7,4.73,0.035,0.055,6.06,维护,11
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.32,10.76,417.8,6.7,2.3,0.025,0.005,1.17,正常,12
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.3,8.1,9.64,880.9,24.8,4.44,0.419,0.082,5.63,正常,13
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.7,8.29,11.92,437.4,2.9,2.27,0.025,0.005,1.3,正常,14
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.8,8.11,10.38,500.8,16.3,1.29,0.025,0.005,4.62,正常,15
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.4,7.97,9.46,592.8,3.3,1.11,0.025,0.005,5.27,正常,16
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.9,8.48,13.67,595.6,8.1,2.7,0.025,0.005,3.84,正常,17
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.29,7.25,547.3,21,0.95,0.025,0.005,11.26,正常,18
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),,16.2,8.1,9.31,1073.9,13.3,,0.087,0.056,0.98,维护,19
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.4,8.52,15.61,868.9,3.9,3.33,0.047,0.052,1.52,正常,20
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.5,9.13,18.84,1568.5,5.4,5.15,0.049,0.058,1.22,正常,21
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.6,8.3,9.71,282.6,1.1,1.57,0.025,0.005,1.1,正常,22
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.67,13.9,,8.5,4.11,0.096,0.114,2,维护,23
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.1,8.05,9.61,288.3,5,1.78,0.025,0.005,1.14,正常,24
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16,8.02,11.73,972.7,0.6,5.59,0.123,0.052,8.98,正常,25
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.7,8.83,9.87,1006.2,5.6,3.73,0.025,0.043,2.47,正常,26
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.46,12.28,2642.4,9.9,4.95,0.025,0.058,4.96,正常,27
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,14.5,9.03,16.35,26761.6,18.5,10.86,0.342,0.146,2.26,正常,28
